Species	Status	min_age	max_age
Archaeohyrax	extinct	33.9	37.71
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax_patagonicus	extinct	30.617	30.77
Archaeohyrax_patagonicus	extinct	23.03	27.82
Archaeohyrax_patagonicus	extinct	27.82	33.9
Archaeohyrax_patagonicus	extinct	23.03	27.82
Archaeohyrax_patagonicus	extinct	23.03	27.82
Archaeohyrax_patagonicus	extinct	23.03	27.82
Archaeohyrax_patagonicus	extinct	23.03	27.82
Archaeohyrax_patagonicus	extinct	23.03	27.82
Archaeohyrax_patagonicus	extinct	23.03	27.82
Archaeohyrax_patagonicus	extinct	23.03	27.82
Archaeohyrax_patagonicus	extinct	23.03	27.82
Archaeohyrax_suniensis	extinct	23.03	27.82
Archaeohyrax_suniensis	extinct	23.03	27.82
Archaeohyrax_suniensis	extinct	23.03	27.82
Archaeohyrax_suniensis	extinct	23.03	27.82
Archaeohyrax_suniensis	extinct	23.03	27.82
Archaeohyrax_suniensis	extinct	23.03	27.82
Archaeotypotherium	extinct	23.03	27.82
Archaeotypotherium	extinct	28.4	33.9
Archaeotypotherium_pattersoni	extinct	28.4	33.9
Archaeotypotherium_propheticus	extinct	23.03	33.9
Archaeotypotherium_propheticus	extinct	27.82	33.9
Archaeotypotherium_propheticus	extinct	27.82	33.9
Archaeotypotherium_propheticus	extinct	27.82	33.9
Archaeotypotherium_propheticus	extinct	27.82	33.9
Archaeotypotherium_propheticus	extinct	27.82	33.9
Archaeotypotherium_tinguiriricaense	extinct	28.4	33.9
Bryanpattersonia_nesodontoides	extinct	33.9	37.71
Bryanpattersonia_nesodontoides	extinct	33.9	37.71
Bryanpattersonia_sulcidens	extinct	28.4	33.9
Bryanpattersonia_sulcidens	extinct	28.1	33.9
Bryanpattersonia_sulcidens	extinct	33.9	37.71
Bryanpattersonia_sulcidens	extinct	27.82	33.9
Bryanpattersonia_sulcidens	extinct	33.9	37.71
Bryanpattersonia_sulcidens	extinct	28.4	33.9
Eohyrax	extinct	38	41.2
Eohyrax	extinct	38	41.2
Eohyrax	extinct	41.3	47.8
Eohyrax	extinct	47.8	56
Eohyrax	extinct	33.9	37.71
Eohyrax_isotemnoides	extinct	38	41.2
Eohyrax_isotemnoides	extinct	38	41.2
Eohyrax_isotemnoides	extinct	38	41.2
Eohyrax_isotemnoides	extinct	38	41.2
Eohyrax_isotemnoides	extinct	38	41.2
Eohyrax_platyodus	extinct	33.9	37.71
Eohyrax_praerusticus	extinct	38	41.2
Eohyrax_praerusticus	extinct	38	41.2
Eohyrax_rusticus	extinct	38	47.8
Eohyrax_rusticus	extinct	33.9	37.71
Isolophodon_cingulosus	extinct	33.9	37.71
Pascualhyrax_irqi	extinct	37.71	47.8
Protarchaeohyrax_intermedium	extinct	28.4	33.9
Protarchaeohyrax_minor	extinct	30.617	30.77
Protarchaeohyrax_minor	extinct	27.82	33.9
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	28.4	33.9
Pseudhyrax_eutrachytheroides	extinct	33.9	41.2
Pseudhyrax_eutrachytheroides	extinct	33.9	41.2
Pseudhyrax_eutrachytheroides	extinct	33.9	41.2
Pseudhyrax_eutrachytheroides	extinct	33.9	37.71
Pseudhyrax_eutrachytheroides	extinct	33.9	37.71
Pseudhyrax_eutrachytheroides	extinct	33.9	37.71
Pseudhyrax_eutrachytheroides	extinct	33.9	37.71
Pseudhyrax_eutrachytheroides	extinct	33.9	37.71
Pseudhyrax_eutrachytheroides	extinct	33.9	37.71
Pseudhyrax_eutrachytheroides	extinct	33.9	37.71
Pseudhyrax_eutrachytheroides	extinct	33.9	37.71
Pseudhyrax_eutrachytheroides	extinct	33.9	37.71
Pseudhyrax_eutrachytheroides	extinct	23.03	33.9
Pseudhyrax_eutrachytheroides	extinct	33.9	37.71
Pseudhyrax_eutrachytheroides	extinct	28.4	33.9
Pseudhyrax_eutrachytheroides	extinct	28.4	33.9
Pseudhyrax_strangulatus	extinct	38	38.4
Pseudhyrax_strangulatus	extinct	48	50
Pseudhyrax_strangulatus	extinct	33.9	37.71
Pseudhyrax_strangulatus	extinct	33.9	37.71
Pseudhyrax_strangulatus	extinct	33.9	37.71
Pseudhyrax_strangulatus	extinct	28.4	33.9
Punahyrax	extinct	33.9	37.71
Punahyrax_bondesioi	extinct	33.9	37.71
Punahyrax_bondesioi	extinct	33.9	37.71
Archaeopithecus_rogeri	extinct	38	41.2
Archaeopithecus_rogeri	extinct	38	41.2
Archaeopithecus_rogeri	extinct	38	41.2
Archaeopithecus_rogeri	extinct	48	50
Archaeopithecus_rogeri	extinct	41.3	47.8
Archaeopithecus_rogeri	extinct	41.3	47.8
Archaeopithecus_rogeri	extinct	48	50
Archaeopithecus_rogeri	extinct	48	50
Archaeopithecus_rogeri	extinct	48	50
Archaeopithecus_rogeri	extinct	51.4	56
Archaeopithecus_rogeri	extinct	47.8	56
Archaeopithecus_rogeri	extinct	38	47.8
Archaeopithecus_rogeri	extinct	38	47.8
Archaeopithecus_rogeri	extinct	38	47.8
Archaeopithecus_rogeri	extinct	41.3	47.8
Archaeopithecus_rogeri	extinct	48	50
Archaeopithecus_rogeri	extinct	41.3	47.8
Archaeopithecus_rogeri	extinct	41.3	47.8
Archaeopithecus_rogeri	extinct	41.3	47.8
Archaeopithecus_rogeri	extinct	48	50
Archaeopithecus_rogeri	extinct	48	50
Archaeopithecus_rogeri	extinct	48	50
Archaeopithecus_rogeri	extinct	48	50
Archaeopithecus_rogeri	extinct	47.8	56
Archaeopithecus_rogeri	extinct	37.71	47.8
Teratopithecus_elpidophoros	extinct	47.89	49.51
Teratopithecus_elpidophoros	extinct	51.4	56
Teratopithecus_elpidophoros	extinct	37.71	47.8
Campanorco	extinct	37.71	47.8
Campanorco_inauguralis	extinct	47.8	56
Hegetotheriopsis_sulcatus	extinct	23.03	27.82
Hegetotheriopsis_sulcatus	extinct	15.97	23.03
Hegetotheriopsis_sulcatus	extinct	15.97	23.03
Hegetotheriopsis_sulcatus	extinct	15.97	23.03
Hegetotheriopsis_sulcatus	extinct	23.03	27.82
Hegetotherium	extinct	23.03	27.82
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	20.44
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	23.03	27.82
Hegetotherium_cerdasensis	extinct	13.82	20.44
Hegetotherium_mirabile	extinct	13.82	20.44
Hegetotherium_mirabile	extinct	15.97	23.03
Hegetotherium_mirabile	extinct	15.97	23.03
Hegetotherium_mirabile	extinct	15.97	23.03
Hegetotherium_mirabile	extinct	15.97	23.03
Hegetotherium_mirabile	extinct	15.97	23.03
Hegetotherium_mirabile	extinct	15.97	23.03
Hegetotherium_mirabile	extinct	15.97	23.03
Hegetotherium_mirabile	extinct	15.97	23.03
Hegetotherium_mirabile	extinct	15.97	23.03
Hegetotherium_mirabile	extinct	15.97	23.03
Hegetotherium_mirabile	extinct	15.97	23.03
Hegetotherium_mirabile	extinct	15.97	23.03
Hegetotherium_mirabile	extinct	15.97	23.03
Hegetotherium_mirabile	extinct	15.97	23.03
Hegetotherium_mirabile	extinct	15.97	23.03
Hegetotherium_novum	extinct	15.97	23.03
Medistylus_dorsatus	extinct	23.03	27.82
Medistylus_dorsatus	extinct	23.03	27.82
Medistylus_dorsatus	extinct	23.03	27.82
Pachyrukhos	extinct	15.97	20.44
Pachyrukhos	extinct	15.97	23.03
Pachyrukhos	extinct	15.97	23.03
Pachyrukhos	extinct	15.97	23.03
Pachyrukhos_moyani	extinct	13.82	20.44
Pachyrukhos_moyani	extinct	15.97	23.03
Pachyrukhos_moyani	extinct	15.97	23.03
Pachyrukhos_moyani	extinct	15.97	23.03
Pachyrukhos_moyani	extinct	15.97	23.03
Pachyrukhos_moyani	extinct	15.97	23.03
Prohegetotherium	extinct	28.1	33.9
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium_malalhuense	extinct	23.03	27.82
Prohegetotherium_schiaffinoi	extinct	23.03	27.82
Prohegetotherium_schiaffinoi	extinct	23.03	27.82
Prohegetotherium_schiaffinoi	extinct	15.97	23.03
Prohegetotherium_schiaffinoi	extinct	23.03	27.82
Prohegetotherium_schiaffinoi	extinct	23.03	27.82
Prohegetotherium_schiaffinoi	extinct	15.97	27.82
Prohegetotherium_schiaffinoi	extinct	23.03	27.82
Prohegetotherium_schiaffinoi	extinct	23.03	27.82
Prohegetotherium_schiaffinoi	extinct	23.03	27.82
Prohegetotherium_sculptum	extinct	23.03	27.82
Prohegetotherium_sculptum	extinct	23.03	27.82
Prohegetotherium_sculptum	extinct	23.03	27.82
Prohegetotherium_sculptum	extinct	23.03	27.82
Prohegetotherium_sculptum	extinct	23.03	27.82
Prohegetotherium_sculptum	extinct	23.03	27.82
Prohegetotherium_sculptum	extinct	23.03	27.82
Prohegetotherium_sculptum	extinct	23.03	27.82
Propachyrucos	extinct	23.03	27.82
Prosotherium	extinct	23.03	27.82
Prosotherium_garzoni	extinct	23.03	27.82
Prosotherium_garzoni	extinct	23.03	27.82
Prosotherium_garzoni	extinct	23.03	27.82
Prosotherium_garzoni	extinct	23.03	27.82
Prosotherium_garzoni	extinct	23.03	27.82
Prosotherium_garzoni	extinct	23.03	27.82
Pseudohegetotherium	extinct	23.03	27.82
Sallatherium_altiplanense	extinct	23.03	27.82
Sallatherium_altiplanense	extinct	23.03	27.82
Acamana	extinct	23.03	27.82
Acamana	extinct	23.03	27.82
Acamana_ambiguus	extinct	37.71	47.8
Henricosbornia	extinct	47.8	56
Henricosbornia	extinct	47.8	56
Henricosbornia	extinct	48.6	55.8
Henricosbornia_ampla	extinct	38	47.8
Henricosbornia_ampla	extinct	48	50
Henricosbornia_lophodonta	extinct	55.8	56
Henricosbornia_lophodonta	extinct	48	50
Henricosbornia_lophodonta	extinct	47	47.8
Henricosbornia_lophodonta	extinct	47.89	49.51
Henricosbornia_lophodonta	extinct	48	50
Henricosbornia_lophodonta	extinct	48	50
Henricosbornia_lophodonta	extinct	38	47.8
Henricosbornia_lophodonta	extinct	38	47.8
Henricosbornia_lophodonta	extinct	38	47.8
Henricosbornia_lophodonta	extinct	38	47.8
Henricosbornia_lophodonta	extinct	41.3	47.8
Henricosbornia_lophodonta	extinct	38	41.2
Henricosbornia_lophodonta	extinct	41.3	47.8
Henricosbornia_lophodonta	extinct	41.3	47.8
Henricosbornia_lophodonta	extinct	41.3	47.8
Henricosbornia_lophodonta	extinct	38	41.2
Henricosbornia_lophodonta	extinct	48	50
Henricosbornia_lophodonta	extinct	48	50
Henricosbornia_lophodonta	extinct	48	50
Henricosbornia_lophodonta	extinct	48	50
Henricosbornia_lophodonta	extinct	48	50
Henricosbornia_lophodonta	extinct	48	50
Henricosbornia_lophodonta	extinct	48	50
Henricosbornia_lophodonta	extinct	48	50
Henricosbornia_lophodonta	extinct	48	50
Henricosbornia_lophodonta	extinct	37.71	47.8
Henricosbornia_lophodonta	extinct	47.8	56
Henricosbornia_lophodonta	extinct	47.8	56
Henricosbornia_lophodonta	extinct	47.8	56
Henricosbornia_minuta	extinct	37.71	55.8
Pantostylops_typus	extinct	48	50
Nanolophodon_tutuca	extinct	48.6	55.8
Orome_deepi	extinct	51.4	56
Orome_deepi	extinct	47.8	56
Othnielmarshia	extinct	47.8	56
Othnielmarshia_curvicrista	extinct	48	50
Othnielmarshia_lacunifera	extinct	47.89	49.51
Othnielmarshia_lacunifera	extinct	38	47.8
Othnielmarshia_lacunifera	extinct	48	50
Othnielmarshia_lacunifera	extinct	41.3	47.8
Othnielmarshia_lacunifera	extinct	41.3	47.8
Othnielmarshia_lacunifera	extinct	37.71	47.8
Othnielmarshia_reflexa	extinct	48	50
Peripantostylops	extinct	47.8	56
Peripantostylops_minutus	extinct	38	47.8
Peripantostylops_minutus	extinct	38	47.8
Peripantostylops_minutus	extinct	48	50
Peripantostylops_minutus	extinct	41.3	47.8
Peripantostylops_minutus	extinct	37.71	47.8
Simpsonotus_major	extinct	61	61.6
Simpsonotus_major	extinct	56	61.6
Simpsonotus_praecursor	extinct	61	61.6
Homalodontotherium	extinct	23.03	27.82
Asmodeus	extinct	33.9	37.71
Asmodeus_osborni	extinct	23.03	27.82
Asmodeus_osborni	extinct	23.03	27.82
Asmodeus_petrasnerus	extinct	23.03	27.82
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	20.44
Homalodotherium_cunninghami	extinct	15.97	23.03
Homalodotherium_cunninghami	extinct	15.97	23.03
Homalodotherium_cunninghami	extinct	15.97	23.03
Homalodotherium_cunninghami	extinct	15.97	23.03
Homalodotherium_segoviae	extinct	15.97	23.03
Trigonolophodon_elegans	extinct	33.9	37.71
Trigonolophodon_elegans	extinct	28.4	33.9
Trigonolophodon_inflatus	extinct	33.9	37.71
Antofagastia	extinct	33.9	37.71
Antofagastia_turneri	extinct	33.9	37.71
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax_proavus	extinct	23.03	27.82
Boleatherium_praeludium	extinct	13.82	20.44
Brucemacfaddenia_boliviensis	extinct	23.03	27.82
Brucemacfaddenia_boliviensis	extinct	23.03	27.82
Brucemacfaddenia_boliviensis	extinct	23.03	27.82
Brucemacfaddenia_boliviensis	extinct	23.03	27.82
Cochilius	extinct	23.03	27.82
Cochilius	extinct	15.97	23.03
Cochilius	extinct	15.97	23.03
Cochilius_fumensis	extinct	23.03	27.82
Cochilius_volvens	extinct	38	41.2
Eopachyrucos	extinct	33.9	37.71
Eopachyrucos_pliciferus	extinct	28.4	33.9
Eopachyrucos_pliciferus	extinct	28.4	33.9
Eopachyrucos_pliciferus	extinct	28.4	33.9
Eopachyrucos_pliciferus	extinct	28.4	33.9
Eopachyrucos_pliciformis	extinct	30.617	30.77
Eopachyrucos_pliciformis	extinct	28.1	33.9
Eopachyrucos_pliciformis	extinct	33.9	37.71
Eopachyrucos_ranchoverdensis	extinct	23.03	27.82
Eopachyrucos_ranchoverdensis	extinct	23.03	27.82
Federicoanaya_sallaensis	extinct	23.03	27.82
Federicoanaya_sallaensis	extinct	23.03	27.82
Fiandraia	extinct	23.03	27.82
Ignigena_minisculus	extinct	48	50
Interatherium	extinct	15.97	20.44
Interatherium	extinct	13.82	20.44
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium_excavatum	extinct	15.97	23.03
Interatherium_extensum	extinct	15.97	23.03
Interatherium_robustum	extinct	15.97	23.03
Interatherium_robustum	extinct	15.97	23.03
Interatherium_robustum	extinct	15.97	23.03
Interatherium_robustum	extinct	15.97	23.03
Interatherium_robustum	extinct	15.97	23.03
Interatherium_robustum	extinct	15.97	23.03
Interatherium_robustum	extinct	15.97	23.03
Interatherium_robustum	extinct	15.97	23.03
Interatherium_robustum	extinct	15.97	23.03
Interatherium_robustum	extinct	15.97	23.03
Interatherium_robustum	extinct	15.97	23.03
Interatherium_robustum	extinct	15.97	23.03
Johnbell_hatcheri	extinct	28.4	33.9
Johnbell_hatcheri	extinct	28.4	33.9
Johnbell_hatcheri	extinct	27.82	33.9
Juchuysillu_arenalesensis	extinct	13.82	20.44
Patriarchus_palmidens	extinct	15.97	23.03
Proargyrohyrax	extinct	42	50
Proargyrohyrax	extinct	27.82	33.9
Proargyrohyrax_curanderensis	extinct	27.82	33.9
Proargyrohyrax_curanderensis	extinct	23.03	33.9
Progaleopithecus	extinct	23.03	27.82
Progaleopithecus	extinct	23.03	27.82
Progaleopithecus_fissurellatus	extinct	23.03	27.82
Progaleopithecus_tournoueri	extinct	23.03	27.82
Progaleopithecus_tournoueri	extinct	23.03	27.82
Progaleopithecus_tournoueri	extinct	23.03	27.82
Progaleopithecus_tournoueri	extinct	23.03	27.82
Progaleopithecus_tournoueri	extinct	23.03	27.82
Progaleopithecus_tournoueri	extinct	23.03	27.82
Protypotherium	extinct	15.97	20.44
Protypotherium	extinct	13.82	20.44
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	20.44
Protypotherium	extinct	15.97	20.44
Protypotherium	extinct	15.97	20.44
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	23.03	27.82
Protypotherium_attenuatum	extinct	15.97	23.03
Protypotherium_attenuatum	extinct	15.97	23.03
Protypotherium_attenuatum	extinct	15.97	23.03
Protypotherium_attenuatum	extinct	15.97	23.03
Protypotherium_attenuatum	extinct	15.97	23.03
Protypotherium_attenuatum	extinct	15.97	23.03
Protypotherium_attenuatum	extinct	15.97	23.03
Protypotherium_attenuatum	extinct	15.97	23.03
Protypotherium_attenuatum	extinct	15.97	23.03
Protypotherium_attenuatum	extinct	15.97	23.03
Protypotherium_attenuatum	extinct	15.97	23.03
Protypotherium_attenuatum	extinct	15.97	23.03
Protypotherium_attenuatum	extinct	13.82	20.44
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_australe	extinct	15.97	23.03
Protypotherium_colloncurensis	extinct	13.82	20.44
Protypotherium_praerutilum	extinct	15.97	23.03
Protypotherium_praerutilum	extinct	15.97	23.03
Protypotherium_praerutilum	extinct	15.97	23.03
Protypotherium_praerutilum	extinct	15.97	23.03
Protypotherium_praerutilum	extinct	15.97	23.03
Protypotherium_praerutilum	extinct	15.97	23.03
Protypotherium_praerutilum	extinct	15.97	23.03
Protypotherium_praerutilum	extinct	15.97	23.03
Protypotherium_praerutilum	extinct	15.97	23.03
Protypotherium_praerutilum	extinct	15.97	23.03
Protypotherium_praerutilum	extinct	15.97	23.03
Protypotherium_praerutilum	extinct	15.97	23.03
Protypotherium_praerutilum	extinct	15.97	23.03
Protypotherium_sinclairi	extinct	15.97	23.03
Protypotherium_sinclairi	extinct	15.97	23.03
Protypotherium_sinclairi	extinct	15.97	23.03
Punapithecus_minor	extinct	33.9	37.71
Punapithecus_minor	extinct	33.9	37.71
Santiagorothia_chiliensis	extinct	28.4	33.9
Santiagorothia_chiliensis	extinct	30.617	30.77
Santiagorothia_chiliensis	extinct	27.82	33.9
Santiagorothia_chiliensis	extinct	27.82	33.9
Santiagorothia_chiliensis	extinct	27.82	33.9
Santiagorothia_chiliensis	extinct	27.82	33.9
Santiagorothia_chiliensis	extinct	23.03	27.82
Santiagorothia_chiliensis	extinct	28.4	33.9
Acoelohyrax	extinct	33.9	37.71
Acoelohyrax_coalitus	extinct	33.9	37.71
Acoelohyrax_coarctatus	extinct	33.9	37.71
Acoelohyrax_complicatissimus	extinct	38	41.2
