Species	Status
?Sallamys	extinct
Abalosia	extinct
Abderites	extinct
Abothrodon	extinct
Abrocoma	extant
Abrothrix	extant
Acamana	extinct
Acarechimys	extinct
Acaremys	extinct
Acdestis	extinct
Acdestodon	extinct
Acdestoides	extinct
Acoelodus	extinct
Acoelohyrax	extinct
Acrecebus	extinct
Acrocyon	extinct
Actenomys	extinct
Acyon	extinct
Adelphomys	extinct
Adianthus	extinct
Adiantoides	extinct
Adiastaltus	extinct
Adinotherium	extinct
Aenigmys	extinct
aff._Tarapotomys	extinct
Agalmaceros	extinct
Ahytherium	extinct
Akodon	extant
Akodon_(Akodon)	extant
Albertogaudrya	extinct
Alcidedorbignya	extinct
Alitoxodon	extinct
Allalmeia	extinct
Allocavia	extinct
Alloiomys	extinct
Alouatta	extant
Altitypotherium	extinct
Ameghinomys	extinct
Amilnedwardsia	extinct
Amphibradys	extinct
Amphidolops	extinct
Amphinasua	extinct
Amphiocnus	extinct
Anachlysictis	extinct
Anadasypus	extinct
Anantiosodon	extinct
Anargyrolagus	extinct
Anathitus	extinct
Anatochoerus	extinct
Anayatherium	extinct
Ancylocoelus	extinct
Andemys	extinct
Andinodelphys	extinct
Andinogale	extinct
Andinomys	extant
Angelocabrerus	extinct
Anisodontherium	extinct
Anisolambda	extinct
Anisolophus	extinct
Anisotemnus	extinct
Anoura	extant
Antawallathentes	extinct
Antepithecus	extinct
Antifer	extinct
Antofagastia	extinct
Aotus	extant
Apeirodon	extinct
Arazamys	extinct
Archaeogaia	extinct
Archaeohyrax	extinct
Archaeomylodon	extinct
Archaeophylus	extinct
Archaeopithecus	extinct
Archaeoplus	extinct
Archaeotypotherium	extinct
Archaeutatus	extinct
Arctodictis	extinct
Arctodus	extinct
Arctotherium	extinct
Arctotherium_(Arctotherium)	extinct
Arctotherium_(Pararctotherium)	extinct
Argyrohippus	extinct
Argyrohyrax	extinct
Argyrohyus	extinct
Argyrolagus	extinct
Argyrolestes	extinct
Argyromanis	extinct
Arminiheringia	extinct
Artibeus	extant
Artibeus_(Artibeus)	extant
Artigasia	extinct
Asmithwoodwardia	extinct
Asmodeus	extinct
Aspidocalyptus	extinct
Astegotherium	extinct
Asteromys	extinct
Asterostemma	extinct
Astraponotus	extinct
Astrapothericulus	extinct
Astrapotherium	extinct
Ateles	extant
Auliscomys	extinct
Australogale	extinct
Australohyaena	extinct
Australonyx	extinct
Australoprocta	extinct
Austropediomys	extinct
Aymaratherium	extinct
Baguatherium	extinct
Balsayacuy	extinct
Banderomys	extinct
Baraguatherium	extinct
Bardalestes	extinct
Barrancatatus	extinct
Bassaricyon	extant
Bergqvistherium	extinct
Berroia	extinct
Bibimys	extant
Blastocerus	extant
